x, y, sigmaxx, sigmaxy, sigmayx, sigmayy,
18.1187,18.0178,0.00632804,-0.00271493,-0.00271493,0.00635083,
17.9495,18.1546,0.00775252,-0.00394859,-0.00394859,0.00753396,
17.8395,18.2895,0.0064411,-0.00271446,-0.00271446,0.00624018,
17.713,18.4525,0.00789958,-0.0039458,-0.0039458,0.00739376,
17.5009,18.6647,0.00653768,-0.00271114,-0.00271114,0.00614677,
17.3278,18.7884,0.00804594,-0.00393454,-0.00393454,0.00724861,
17.1726,18.9293,0.00663785,-0.00270234,-0.00270234,0.00604695,
17.0033,19.0909,0.00818366,-0.00391918,-0.00391918,0.00711242,
16.7784,19.224,0.00673101,-0.00269099,-0.00269099,0.00595443,
16.5839,19.3716,0.00832361,-0.00389613,-0.00389613,0.00697013,
16.3367,19.561,0.00682801,-0.00267448,-0.00267448,0.00585626,
16.1181,19.6309,0.00847564,-0.00386264,-0.00386264,0.00681189,
15.9056,19.7884,0.00693564,-0.00265073,-0.00265073,0.00574573,
15.7096,19.9051,0.00862773,-0.00382435,-0.00382435,0.00665618,
15.4669,20.0824,0.00704087,-0.0026239,-0.0026239,0.00563898,
15.2356,20.2271,0.00878323,-0.0037783,-0.0037783,0.00649694,
15.068,20.3574,0.00714885,-0.00259152,-0.00259152,0.00552936,
14.8319,20.434,0.00893497,-0.00372869,-0.00372869,0.00634463,
14.6229,20.5572,0.00725252,-0.00255678,-0.00255678,0.00542555,
14.3759,20.6431,0.00908009,-0.00367412,-0.00367412,0.00619804,
14.1331,20.7195,0.00735153,-0.00251884,-0.00251884,0.00532591,
13.8879,20.7883,0.00922106,-0.00361232,-0.00361232,0.00605259,
13.6069,20.8603,0.00744877,-0.00247598,-0.00247598,0.00522661,
13.3544,20.8876,0.00936165,-0.0035412,-0.0035412,0.0059043,
13.1184,20.9251,0.00754703,-0.00242666,-0.00242666,0.00512483,
12.8761,20.981,0.00949431,-0.00346834,-0.00346834,0.00576556,
12.7073,21.0164,0.00763818,-0.00237687,-0.00237687,0.00503106,
12.4374,21.0573,0.00961432,-0.00339913,-0.00339913,0.00564303,
12.194,21.1015,0.00771897,-0.00233006,-0.00233006,0.00494934,
11.9471,21.1172,0.00973199,-0.00332053,-0.00332053,0.00551754,
11.7188,21.0886,0.00780142,-0.00227578,-0.00227578,0.00486335,
11.4596,21.0721,0.00984185,-0.00324118,-0.00324118,0.0054002,
11.2631,21.0662,0.00787749,-0.00222175,-0.00222175,0.00478402,
10.9915,21.0264,0.00994288,-0.00316222,-0.00316222,0.00529164,
10.8022,20.9889,0.00794728,-0.0021683,-0.0021683,0.00471098,
